"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 27 16:14:30 CST 2020","Sun Sep 27 16:14:37 CST 2020","6204","","test_mo_shouye_about","TestShouYe","","","test_click_input_elements_005",""
"passed","Sun Sep 27 16:12:44 CST 2020","Sun Sep 27 16:12:46 CST 2020","2859","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_price_click-{""page"":1,""pageSize"":20,""priceMax"":9,""priceMin"":7,""type"":0,""cityId"":310100}]","{""page"":1,""pageSize"":20,""priceMax"":9,""priceMin"":7,""type"":0,""cityId"":310100}"
"passed","Sun Sep 27 16:11:35 CST 2020","Sun Sep 27 16:11:37 CST 2020","2074","","test_mo_off_list","TestOofList","","","test_click_elements_002[off_subway_all_click-]",""
"passed","Sun Sep 27 16:10:47 CST 2020","Sun Sep 27 16:10:49 CST 2020","2088","","test_mo_join_list","TestJoinList","","","test_click_elements_002[join_subway_click-]",""
"passed","Sun Sep 27 16:11:26 CST 2020","Sun Sep 27 16:11:28 CST 2020","2209","","test_mo_off_list","TestOofList","","","test_click_elements_002[off_businessid_click-{""page"":1,""pageSize"":20,""addressId"":310104,""businessId"":2223,""type"":0,""cityId"":310100}]",""
"passed","Sun Sep 27 16:13:46 CST 2020","Sun Sep 27 16:13:50 CST 2020","4207","","test_mo_shouye_about","TestShouYe","","","test_click_elements_004[sy_brand_click-brand_element]",""
"passed","Sun Sep 27 16:12:04 CST 2020","Sun Sep 27 16:12:04 CST 2020","19","","test_mo_off_list","TestOofList","","","test_click_elements_002[off_clear_all-{""page"":1,""pageSize"":20,""type"":0,""cityId"":310100}]",""
"passed","Sun Sep 27 16:13:17 CST 2020","Sun Sep 27 16:13:21 CST 2020","4087","","test_mo_shouye_about","TestShouYe","","","test_click_elements_003[type_of_join-lianban_element]",""
"passed","Sun Sep 27 16:11:55 CST 2020","Sun Sep 27 16:11:58 CST 2020","2239","","test_mo_off_list","TestOofList","","","test_click_elements_002[off_fixtures_click-{""page"":1,""pageSize"":20,""decorate"":""简单装修"",""type"":0,""cityId"":310100}]",""
"passed","Sun Sep 27 16:14:57 CST 2020","Sun Sep 27 16:15:06 CST 2020","8182","","test_mo_shouye_about","TestShouYe","","","test_more_service_006[more_service_element-business_element-business_element_check]",""
"passed","Sun Sep 27 16:10:42 CST 2020","Sun Sep 27 16:10:45 CST 2020","2421","","test_mo_join_list","TestJoinList","","","test_click_elements_002[join_contryid_click-{""page"":1,""pageSize"":20,""addressId"":310104,""type"":0,""featureIds"":[],""cityId"":310100}]",""
"passed","Sun Sep 27 16:11:48 CST 2020","Sun Sep 27 16:11:50 CST 2020","2065","","test_mo_off_list","TestOofList","","","test_click_elements_002[off_nump_buxian_click-]",""
"passed","Sun Sep 27 16:11:37 CST 2020","Sun Sep 27 16:11:39 CST 2020","2246","","test_mo_off_list","TestOofList","","","test_click_elements_002[off_type_click-{""page"":1,""pageSize"":20,""type"":0,""buildingType"":""写字楼"",""cityId"":310100}]",""
"passed","Sun Sep 27 16:14:22 CST 2020","Sun Sep 27 16:14:26 CST 2020","4182","","test_mo_shouye_about","TestShouYe","","","test_click_elements_004[sy_bgshi_click-bgshi_element]",""
